Architecture,Expansion,K,Optimizer,LR,Checkpoint,Layer,Avg L0,Recon Loss (MSE),Recon Loss (NMSE),Dead Latents %,Delta Loss,Frac Rec %,Model
BatchTopK,4,32,Adam,0.0001,instruct_base,12,32,0.07019862533,0.001476972745,63.30915689,2.224759169,59.06211883,Qwen2.5-0.5B-Instruct
BatchTopK,4,64,Adam,0.0001,instruct_base,12,64,0.04969969392,0.001045677077,39.98326063,1.140428114,73.78413295,Qwen2.5-0.5B-Instruct
BatchTopK,4,128,Adam,0.0001,instruct_base,12,128,0.03397481889,0.000714827125,18.75000149,0.6339821672,83.50593448,Qwen2.5-0.5B-Instruct
BatchTopK,4,220,Adam,0.0001,instruct_base,12,220.0000153,0.0227726195,0.0004791338603,12.86272407,0.2468281698,92.8591065,Qwen2.5-0.5B-Instruct
BatchTopK,8,32,Adam,0.0001,instruct_base,12,32,0.06841403991,0.001439425229,78.33426595,1.887785749,62.96645538,Qwen2.5-0.5B-Instruct
BatchTopK,8,64,Adam,0.0001,instruct_base,12,64,0.05225756392,0.001099494432,57.40792751,0.9520511055,77.12387599,Qwen2.5-0.5B-Instruct
BatchTopK,8,128,Adam,0.0001,instruct_base,12,128,0.03688072413,0.0007759671093,31.31975532,0.7882209349,80.28431013,Qwen2.5-0.5B-Instruct
BatchTopK,8,220,Adam,0.0001,instruct_base,12,220.0000153,0.02449668013,0.0005154079404,20.64732164,0.3535484743,90.0779627,Qwen2.5-0.5B-Instruct
BatchTopK,16,32,Adam,0.0001,instruct_base,12,32,0.06634547561,0.001395902823,87.45117784,1.920894332,62.56012362,Qwen2.5-0.5B-Instruct
BatchTopK,16,64,Adam,0.0001,instruct_base,12,64.00002289,0.05229243636,0.001100228145,73.46540689,1.418648243,69.3488232,Qwen2.5-0.5B-Instruct
BatchTopK,16,128,Adam,0.0001,instruct_base,12,128,0.04001933336,0.0008420031644,52.67159939,0.8596224356,78.87562425,Qwen2.5-0.5B-Instruct
BatchTopK,16,220,Adam,0.0001,instruct_base,12,220.0000153,0.02981236205,0.0006272494085,32.97293782,0.4057209492,88.77809501,Qwen2.5-0.5B-Instruct
JumpReLU,4,76.68358612,Adam,0.0001,instruct_base,12,76.68358612,0.04347538203,0.0009147181167,24.02343899,0.8125871038,79.79796666,Qwen2.5-0.5B-Instruct
JumpReLU,4,1047.19165,Adam,0.0001,instruct_base,12,1047.19165,0.001530453912,3.22E-05,15.29017985,0.09868927956,97.017014,Qwen2.5-0.5B-Instruct
JumpReLU,4,1595.664673,Adam,0.0001,instruct_base,12,1595.664673,0.000672075199,1.41E-05,8.621652424,-0.01428870678,100.447161,Qwen2.5-0.5B-Instruct
JumpReLU,4,2023.612061,Adam,0.0001,instruct_base,12,2023.612061,0.0007585210842,1.60E-05,2.399553731,0.02874037743,99.11252862,Qwen2.5-0.5B-Instruct
JumpReLU,8,100.4407578,Adam,0.0001,instruct_base,12,100.4407578,0.0418026261,0.0008795234829,25.48828125,1.001324468,76.22145002,Qwen2.5-0.5B-Instruct
JumpReLU,8,1086.092041,Adam,0.0001,instruct_base,12,1086.092041,0.001653467189,3.48E-05,25.1534611,-0.07620798111,102.4320337,Qwen2.5-0.5B-Instruct
JumpReLU,8,1961.616089,Adam,0.0001,instruct_base,12,1961.616089,0.0008091012132,1.70E-05,18.38727742,0.04279657364,98.68419977,Qwen2.5-0.5B-Instruct
JumpReLU,8,3267.506836,Adam,0.0001,instruct_base,12,3267.506836,0.0006195451133,1.30E-05,6.026785821,-0.004689283371,100.1463103,Qwen2.5-0.5B-Instruct
JumpReLU,16,151.7670288,Adam,0.0001,instruct_base,12,151.7670288,0.04114354029,0.0008656563769,27.52511203,1.084593105,74.74348104,Qwen2.5-0.5B-Instruct
JumpReLU,16,1137.368286,Adam,0.0001,instruct_base,12,1137.368286,0.002512060106,5.29E-05,32.39397407,0.08444753647,97.43645013,Qwen2.5-0.5B-Instruct
JumpReLU,16,2084.095215,Adam,0.0001,instruct_base,12,2084.095215,0.001224618172,2.58E-05,25.85100532,-0.09606580257,103.0853109,Qwen2.5-0.5B-Instruct
