expansion_factor,steps,l0_coefficient,loss,mse,explained_var,cosine_sim,hard_l0,soft_l0,dead_frac_batch,fire_rate_mean,fire_rate_p50,fire_rate_p90,features_gt_1pct_firing,features_gt_10pct_firing,mean_threshold,threshold_p10,threshold_p50,threshold_p90,min_threshold,max_threshold,grad_norm,decoder_norm_mean,decoder_norm_min,decoder_norm_max
x16,5k,1.00E-05,0.010877,0.005015,0.995506,0.962862,329.365,586.26,0.124581,0.022975,0.000977,0.054932,0.151925,0.073451,0.06214,0.049811,0.054333,0.098898,0.045508,0.136298,0.050273,1,1,1
x16,5k,3.00E-05,0.01965,0.010397,0.990683,0.921373,130.166,308.459,0.133929,0.00908,0.00415,0.015869,0.119978,0.020368,0.059655,0.052631,0.053914,0.078628,0.049441,0.134854,0.070332,1,1,1
x16,5k,0.0001,0.031096,0.015541,0.986073,0.878786,81.642,155.553,0.338449,0.005695,0.00415,0.00415,0.077079,0.00272,0.059938,0.057378,0.057734,0.064454,0.056006,0.123161,0.082402,1,1,1
x16,5k,0.0003,0.0601,0.021943,0.980336,0.825372,84.494,127.191,0.111468,0.005894,0.00415,0.00415,0.049805,0.001814,0.059897,0.058202,0.058464,0.064213,0.056029,0.11357,0.194806,1,1,1
x16,5k,0.001,0.147984,0.0338,0.969709,0.746816,78.656,114.184,0.00572,0.005487,0.00415,0.00415,0.02839,0.001186,0.058056,0.056988,0.057245,0.060057,0.051347,0.105397,0.761547,1,1,1
x16,5k,0.003,0.353237,0.062663,0.943843,0.660325,66.973,96.858,0.000209,0.004672,0.00415,0.00415,0.010603,0.000698,0.055423,0.05489,0.05519,0.055554,0.050178,0.083477,2.860485,1,1,1
x16,5k,0.01,1.005854,0.172423,0.845479,0.253487,59.87,83.343,0,0.004176,0.00415,0.00415,0.000907,0,0.051891,0.051553,0.051872,0.052206,0.050583,0.05926,9.564835,1,1,1
x16,5k,0.03,2.609388,0.253768,0.77258,0.221553,59.537,78.521,0,0.004153,0.00415,0.00415,7.00E-05,0,0.048191,0.047899,0.048175,0.048498,0.047056,0.054302,18.022887,1,1,1
x16,20k,1.00E-05,0.010597,0.006592,0.991417,0.949972,162.041,400.43,0.104143,0.011303,0.000977,0.01001,0.100307,0.04534,0.048849,0.010612,0.017229,0.171539,0.009022,0.36686,0.005805,1,1,1
x16,20k,3.00E-05,0.015563,0.011134,0.985503,0.913656,42.976,147.632,0.314802,0.002998,0.000244,0.005859,0.069336,0.002023,0.06509,0.01344,0.024164,0.251784,0.011333,0.390369,0.012001,1,1,1
x16,20k,0.0001,0.018941,0.015066,0.980384,0.880697,19.589,38.749,0.789969,0.001366,0,0.002686,0.040667,0.000349,0.154554,0.079174,0.102475,0.292052,0.055394,0.496513,0.012292,1,1,1
x16,20k,0.0003,0.02426,0.020211,0.973684,0.835148,12.618,13.494,0.834542,0.00088,0,0.002686,0.020089,0.00014,0.271077,0.187318,0.240831,0.358618,0.131978,0.787612,0.007593,1,1,1
x16,20k,0.001,0.037951,0.027773,0.96384,0.762789,10.054,10.179,0.808036,0.000701,0,0.002686,0.008161,7.00E-05,0.383732,0.332356,0.378172,0.416051,0.185854,1.265867,0.012094,1,1,1
x16,20k,0.003,0.086421,0.036859,0.952009,0.665188,16.486,16.521,0.604213,0.00115,0,0.002686,0.003627,7.00E-05,0.474846,0.428436,0.47509,0.503703,0.242196,1.889635,0.022785,1,1,1
x16,20k,0.01,0.448516,0.060818,0.920814,0.309821,38.75,38.77,0.002162,0.002703,0.002686,0.002686,0.000767,0,0.560506,0.551247,0.559662,0.569381,0.490672,2.892343,0.089613,1,1,1
x16,20k,0.03,1.225521,0.068858,0.910345,0.230367,38.533,38.555,0,0.002688,0.002686,0.002686,7.00E-05,0,0.549385,0.539216,0.548781,0.560075,0.520109,1.547638,0.561155,1,1,1
x16,50k,1.00E-05,0.015557,0.013164,0.988143,0.949108,141.388,239.229,0.242188,0.009862,0.000488,0.008301,0.092006,0.038435,0.049711,0.007112,0.014149,0.174872,0.001797,0.900082,3.134124,1,1,1
x16,50k,3.00E-05,0.013277,0.010909,0.990174,0.915413,36.925,78.932,0.626744,0.002576,0,0.005615,0.062709,0.001814,0.06736,0.012323,0.025804,0.250979,0.002178,0.437954,0.010986,1,1,1
x32,5k,1.00E-05,0.01395,0.005417,0.994837,0.963763,354.328,853.287,0.182234,0.012358,0.000732,0.003906,0.07945,0.036656,0.0578,0.049515,0.054249,0.061048,0.046041,0.129856,0.200991,1,1,1
x32,5k,3.00E-05,0.026513,0.011216,0.989309,0.921302,149.028,509.885,0.206927,0.005198,0.000732,0.003906,0.060233,0.010533,0.057112,0.052835,0.054392,0.055961,0.050291,0.132468,0.277799,1,1,1
x32,5k,0.0001,0.041032,0.015704,0.985031,0.879323,103.606,253.283,0.398263,0.003613,0.003662,0.003662,0.038958,0.00129,0.059141,0.057831,0.058094,0.058946,0.055581,0.128278,0.11907,1,1,1
x32,5k,0.0003,0.089942,0.025818,0.975391,0.831909,122.284,213.748,0.122524,0.004265,0.003662,0.003662,0.024867,0.001011,0.059637,0.058839,0.05899,0.059716,0.054404,0.118292,0.765373,1,1,1
x32,5k,0.001,0.2567,0.057188,0.945489,0.749619,120.458,199.511,0.004674,0.004201,0.003662,0.003662,0.011928,0.000523,0.058573,0.058075,0.058234,0.05847,0.052791,0.107709,2.217392,1,1,1
x32,5k,0.003,0.852013,0.318194,0.696702,0.590276,109.061,177.94,0,0.003804,0.003662,0.003662,0.002616,0.000244,0.056706,0.056435,0.056625,0.056819,0.052899,0.07842,9.820799,1,1,1
x32,5k,0.01,2.842086,1.226512,-0.169095,0.22835,105.126,161.557,0,0.003666,0.003662,0.003662,0.000174,0,0.053907,0.05367,0.053907,0.05414,0.052937,0.058148,32.376801,1,1,1
