Architecture,Expansion,K,Optimizer,LR,Checkpoint,Layer,Avg L0,Recon Loss (MSE),Recon Loss (NMSE),Dead Latents %,Delta Loss,Frac Rec %,Model,Chain
TopK,8,64,Adam,0.0001,instruct_base,6,64,,0.0005,,0.1652,98.19,Qwen2.5-0.5B-Instruct,flexible
TopK,8,64,Adam,0.0001,instruct_base,12,64,,0.0009,,0.303,96.05,Qwen2.5-0.5B-Instruct,flexible
TopK,8,64,Adam,0.0001,instruct_base,18,64,,0.0038,,0.3695,95.56,Qwen2.5-0.5B-Instruct,flexible
TopK,8,256,Adam,0.0001,instruct_base,23,256,,0.1772,,0.2683,97.94,Qwen2.5-0.5B-Instruct,flexible
TopK,8,64,Adam,0.0001,ppo_step10,6,64,,0.0005,,0.1042,98.86,Qwen2.5-0.5B-Instruct,flexible
TopK,8,64,Adam,0.0001,ppo_step10,12,64,,0.0008,,0.2857,96.27,Qwen2.5-0.5B-Instruct,flexible
TopK,8,64,Adam,0.0001,ppo_step10,18,64,,0.0035,,0.2941,96.46,Qwen2.5-0.5B-Instruct,flexible
TopK,8,256,Adam,0.0001,ppo_step10,23,256,,0.1673,,0.2484,98.13,Qwen2.5-0.5B-Instruct,flexible
TopK,8,64,Adam,0.0001,ppo_step30,6,64,,0.0004,,0.1071,98.81,Qwen2.5-0.5B-Instruct,flexible
TopK,8,64,Adam,0.0001,ppo_step30,12,64,,0.0008,,0.2668,96.48,Qwen2.5-0.5B-Instruct,flexible
TopK,8,64,Adam,0.0001,ppo_step30,18,64,,0.0034,,0.3093,96.28,Qwen2.5-0.5B-Instruct,flexible
TopK,8,256,Adam,0.0001,ppo_step30,23,256,,0.1665,,0.2451,98.32,Qwen2.5-0.5B-Instruct,flexible
TopK,8,64,Adam,0.0001,ppo_step60,6,64,,0.0004,,0.1008,98.86,Qwen2.5-0.5B-Instruct,flexible
TopK,8,64,Adam,0.0001,ppo_step60,12,64,,0.0007,,0.2544,96.63,Qwen2.5-0.5B-Instruct,flexible
TopK,8,64,Adam,0.0001,ppo_step60,18,64,,0.0034,,0.358,95.68,Qwen2.5-0.5B-Instruct,flexible
TopK,8,256,Adam,0.0001,ppo_step60,23,256,,0.1652,,0.2442,98.47,Qwen2.5-0.5B-Instruct,flexible
TopK,8,64,Adam,0.0001,ppo_step100,6,64,,0.0004,,0.1289,98.5,Qwen2.5-0.5B-Instruct,flexible
TopK,8,64,Adam,0.0001,ppo_step100,12,64,,0.0007,,0.2804,96.25,Qwen2.5-0.5B-Instruct,flexible
TopK,8,64,Adam,0.0001,ppo_step100,18,64,,0.0034,,0.427,94.79,Qwen2.5-0.5B-Instruct,flexible
TopK,8,256,Adam,0.0001,ppo_step100,23,256,,0.1616,,0.2518,98.5,Qwen2.5-0.5B-Instruct,flexible
TopK,8,64,Adam,0.0001,ppo_step140,6,64,,0.0004,,0.155,98.16,Qwen2.5-0.5B-Instruct,flexible
TopK,8,64,Adam,0.0001,ppo_step140,12,64,,0.0007,,0.2542,96.56,Qwen2.5-0.5B-Instruct,flexible
TopK,8,64,Adam,0.0001,ppo_step140,18,64,,0.0034,,0.4745,94.22,Qwen2.5-0.5B-Instruct,flexible
TopK,8,256,Adam,0.0001,ppo_step140,23,256,,0.157,,0.2516,98.51,Qwen2.5-0.5B-Instruct,flexible
TopK,8,64,Adam,0.0001,ppo_step180,6,64,,0.0004,,0.158,98.15,Qwen2.5-0.5B-Instruct,flexible
TopK,8,64,Adam,0.0001,ppo_step180,12,64,,0.0007,,0.2834,96.21,Qwen2.5-0.5B-Instruct,flexible
