chain,layer,stage_from,stage_to,step_from,step_to,d_step,n_features,dec_cos_mean,dec_cos_median,dec_cos_q25,dec_cos_q75,dec_cos_min,dec_drift_per_step,enc_cos_mean,enc_cos_median,enc_drift_per_step,enc_dec_corr
flexible,6,instruct_base,ppo_step10,0,10,10,7168,0.852963387966156,0.8976547718048096,0.758375346660614,0.9458184242248535,0.22472713887691498,0.0147036612033844,0.8660771250724792,0.8864341974258423,0.013392287492752075,0.6833789034578609
flexible,6,ppo_step10,ppo_step30,10,30,20,7168,0.9239335656166077,0.9602947235107422,0.9176594018936157,0.9743562936782837,-0.10313453525304794,0.003803321719169617,0.8874949216842651,0.9501810073852539,0.0056252539157867435,0.5942109364085387
flexible,6,ppo_step30,ppo_step60,30,60,30,7168,0.9706013798713684,0.9815501570701599,0.972760796546936,0.9874579906463623,0.26857954263687134,0.0009799540042877198,0.9673033356666565,0.9788081645965576,0.0010898888111114502,0.5053709666853693
flexible,6,ppo_step60,ppo_step100,60,100,40,7168,0.9789708852767944,0.9886267185211182,0.9842011332511902,0.9921716451644897,0.3292824923992157,0.0005257278680801392,0.9759427309036255,0.9851464033126831,0.0006014317274093628,0.48928468432522154
flexible,6,ppo_step100,ppo_step140,100,140,40,7168,0.9957923293113708,0.9980235695838928,0.9973034858703613,0.9985533356666565,0.8947177529335022,0.00010519176721572876,0.9927088022232056,0.9966340661048889,0.00018227994441986085,0.3225280535497539
flexible,6,ppo_step140,ppo_step180,140,180,40,7168,0.9771933555603027,0.9912993907928467,0.986972451210022,0.9938730001449585,0.5691851377487183,0.0005701661109924316,0.9806975722312927,0.9897128343582153,0.00048256069421768186,0.57496026424403
flexible,6,ppo_step180,ppo_step200,180,200,20,7168,0.9843853712081909,0.9943847060203552,0.9918519258499146,0.9959716796875,0.4560413956642151,0.0007807314395904541,0.9865480661392212,0.9922357797622681,0.0006725966930389404,0.5731433226981644
flexible,12,instruct_base,ppo_step10,0,10,10,7168,0.947529137134552,0.9664335250854492,0.9190666675567627,0.9837062358856201,0.5194092392921448,0.0052470862865448,0.9308418035507202,0.9501184821128845,0.006915819644927978,0.21559815283354505
flexible,12,ppo_step10,ppo_step30,10,30,20,7168,0.9746174812316895,0.9873501062393188,0.9627854824066162,0.9925192594528198,0.7085159420967102,0.0012691259384155274,0.9703821539878845,0.9798644781112671,0.001480892300605774,0.6329882078098652
flexible,12,ppo_step30,ppo_step60,30,60,30,7168,0.9370490908622742,0.9655499458312988,0.9036191701889038,0.9782722592353821,0.3689170479774475,0.002098363637924194,0.9163175225257874,0.9509872198104858,0.002789415915807088,0.09930514108964403
flexible,12,ppo_step60,ppo_step100,60,100,40,7168,0.9690004587173462,0.9794654250144958,0.966046929359436,0.986302375793457,0.19583788514137268,0.0007749885320663452,0.9594594240188599,0.9675130248069763,0.0010135143995285035,0.36733367718458326
