layer,from_stage,to_stage,transition,frac_drifted,frac_stable,mean_max_sim
6,ppo_step10,ppo_step100,s10→s100,0.9086216517857143,0.0009765625,0.25364384055137634
6,ppo_step100,ppo_step140,s100→s140,0.9123883928571429,0.0015345982142857143,0.25542691349983215
6,ppo_step140,ppo_step180,s140→s180,0.912109375,0.0006975446428571429,0.25210627913475037
6,ppo_step180,ppo_step200,s180→s200,0.9140625,0.0008370535714285714,0.25033900141716003
12,ppo_step10,ppo_step100,s10→s100,0.9448939732142857,0.0005580357142857143,0.22103111445903778
12,ppo_step100,ppo_step140,s100→s140,0.9592633928571429,0.00027901785714285713,0.21101412177085876
12,ppo_step140,ppo_step180,s140→s180,0.9572405133928571,0.00027901785714285713,0.20584246516227722
12,ppo_step180,ppo_step200,s180→s200,0.95556640625,6.975446428571428e-05,0.20985384285449982
18,ppo_step10,ppo_step100,s10→s100,0.9294084821428571,0.0004185267857142857,0.2229425013065338
18,ppo_step100,ppo_step140,s100→s140,0.9308733258928571,0.0006277901785714286,0.21998177468776703
18,ppo_step140,ppo_step180,s140→s180,0.9318498883928571,0.0004185267857142857,0.21874335408210754
18,ppo_step180,ppo_step200,s180→s200,0.9213169642857143,0.0004185267857142857,0.22550620138645172
23,ppo_step10,ppo_step100,s10→s100,0.9637276785714286,0.0013950892857142857,0.2138025462627411
23,ppo_step100,ppo_step140,s100→s140,0.9645298549107143,0.0023367745535714285,0.21169695258140564
23,ppo_step140,ppo_step180,s140→s180,0.9646344866071429,0.0025460379464285715,0.2121756225824356
23,ppo_step180,ppo_step200,s180→s200,0.9629952566964286,0.0025809151785714285,0.21283401548862457
