chain,layer,stage,step,n_tokens,n_features,n_alive,frac_alive,entropy_bits,effective_features,mean_density,max_density
flexible,6,instruct_base,0,89148,7168,6138,0.8563057780265808,11.18321501568935,2325.3223596461885,0.008928571827709675,0.4688495397567749
flexible,6,ppo_step10,10,89148,7168,6520,0.9095982313156128,11.656859991690355,3228.9737375646055,0.008928571827709675,0.5081886053085327
flexible,6,ppo_step30,30,89148,7168,6762,0.943359375,11.630528670670069,3170.5747402076568,0.008928571827709675,0.39515188336372375
flexible,6,ppo_step60,60,89148,7168,6444,0.8989955186843872,11.542785028616148,2983.4895918775974,0.008928571827709675,0.4887378215789795
flexible,6,ppo_step100,100,89148,7168,7010,0.9779576063156128,11.53956035158234,2976.82841538309,0.008928571827709675,0.5224906802177429
flexible,6,ppo_step140,140,89148,7168,6960,0.9709821343421936,11.536979060503457,2971.506992424304,0.008928571827709675,0.5343137383460999
flexible,6,ppo_step180,180,89148,7168,6984,0.9743303656578064,11.534162520223237,2965.7114468995824,0.008928571827709675,0.5671243071556091
flexible,6,ppo_step200,200,89148,7168,7093,0.9895368218421936,11.562394784571945,3024.319375902503,0.008928571827709675,0.6175012588500977
flexible,12,instruct_base,0,89148,7168,6178,0.8618861436843872,11.430232219785967,2759.578518303416,0.008928571827709675,0.5508480072021484
flexible,12,ppo_step10,10,89148,7168,6617,0.9231305718421936,11.69711556889997,3320.340700463237,0.008928571827709675,0.5632543563842773
flexible,12,ppo_step30,30,89148,7168,6917,0.9649832844734192,11.817838147990392,3610.1376925974964,0.008928571827709675,0.564678966999054
flexible,12,ppo_step60,60,89148,7168,6512,0.9084821343421936,11.949314484231296,3954.595677950068,0.008928571827709675,0.5783976912498474
flexible,12,ppo_step100,100,89148,7168,6765,0.9437779188156128,12.001392687238749,4099.955930402375,0.008928571827709675,0.5941131711006165
flexible,12,ppo_step140,140,89148,7168,6594,0.919921875,11.988518291013868,4063.531298474844,0.0089285708963871,0.625039279460907
flexible,12,ppo_step180,180,89148,7168,6943,0.9686104655265808,12.010367416959857,4125.540467270713,0.0089285708963871,0.6378830671310425
flexible,12,ppo_step200,200,89148,7168,7055,0.9842354655265808,12.018651087881416,4149.296644877174,0.0089285708963871,0.662875235080719
flexible,18,instruct_base,0,89148,7168,6662,0.9294084906578064,11.576949226273221,3054.984248678208,0.0089285708963871,0.8190425038337708
flexible,18,ppo_step10,10,89148,7168,6479,0.9038783311843872,11.790429437051879,3542.198724315726,0.0089285708963871,0.7516264915466309
flexible,18,ppo_step30,30,89148,7168,7108,0.9916294813156128,12.0054676434455,4111.552808227015,0.008928571827709675,0.9250011444091797
flexible,18,ppo_step60,60,89148,7168,7146,0.9969307780265808,12.147927586740419,4538.272701404209,0.0089285708963871,0.9454727172851562
