chain,layer,stage_from,stage_to,step_from,step_to,d_step,n_died,n_born,n_stayed_alive,n_stayed_dead
flexible,6,instruct_base,ppo_step10,0,10,10,412,794,5726,236
flexible,6,ppo_step10,ppo_step30,10,30,20,235,477,6285,171
flexible,6,ppo_step30,ppo_step60,30,60,30,535,217,6227,189
flexible,6,ppo_step60,ppo_step100,60,100,40,55,621,6389,103
flexible,6,ppo_step100,ppo_step140,100,140,40,158,108,6852,50
flexible,6,ppo_step140,ppo_step180,140,180,40,126,150,6834,58
flexible,6,ppo_step180,ppo_step200,180,200,20,53,162,6931,22
flexible,12,instruct_base,ppo_step10,0,10,10,443,882,5735,108
flexible,12,ppo_step10,ppo_step30,10,30,20,76,376,6541,175
flexible,12,ppo_step30,ppo_step60,30,60,30,519,114,6398,137
flexible,12,ppo_step60,ppo_step100,60,100,40,177,430,6335,226
flexible,12,ppo_step100,ppo_step140,100,140,40,338,167,6427,236
flexible,12,ppo_step140,ppo_step180,140,180,40,67,416,6527,158
flexible,12,ppo_step180,ppo_step200,180,200,20,74,186,6869,39
flexible,18,instruct_base,ppo_step10,0,10,10,472,289,6190,217
flexible,18,ppo_step10,ppo_step30,10,30,20,26,655,6453,34
flexible,18,ppo_step30,ppo_step60,30,60,30,13,51,7095,9
flexible,18,ppo_step60,ppo_step100,60,100,40,43,12,7103,10
flexible,18,ppo_step100,ppo_step140,100,140,40,18,41,7097,12
flexible,18,ppo_step140,ppo_step180,140,180,40,16,24,7122,6
flexible,18,ppo_step180,ppo_step200,180,200,20,18,13,7128,9
flexible,23,instruct_base,ppo_step10,0,10,10,0,0,7168,0
flexible,23,ppo_step10,ppo_step30,10,30,20,0,0,7168,0
flexible,23,ppo_step30,ppo_step60,30,60,30,0,0,7168,0
flexible,23,ppo_step60,ppo_step100,60,100,40,0,0,7168,0
flexible,23,ppo_step100,ppo_step140,100,140,40,0,0,7168,0
flexible,23,ppo_step140,ppo_step180,140,180,40,0,0,7168,0
flexible,23,ppo_step180,ppo_step200,180,200,20,0,0,7168,0
strict,6,instruct_base,ppo_step10,0,10,10,526,1036,5417,189
strict,6,ppo_step10,ppo_step30,10,30,20,294,502,6159,213
strict,6,ppo_step30,ppo_step50,30,50,20,41,475,6620,32
strict,6,ppo_step50,ppo_step80,50,80,30,170,57,6925,16
strict,6,ppo_step80,ppo_step116,80,116,36,44,166,6938,20
strict,12,instruct_base,ppo_step10,0,10,10,304,1052,5626,186
strict,12,ppo_step10,ppo_step30,10,30,20,409,287,6269,203
strict,12,ppo_step30,ppo_step50,30,50,20,163,396,6393,216
strict,12,ppo_step50,ppo_step80,50,80,30,248,186,6541,193
strict,12,ppo_step80,ppo_step116,80,116,36,26,409,6701,32
strict,18,instruct_base,ppo_step10,0,10,10,423,543,5984,218
strict,18,ppo_step10,ppo_step30,10,30,20,88,583,6439,58
strict,18,ppo_step30,ppo_step50,30,50,20,14,126,7008,20
strict,18,ppo_step50,ppo_step80,50,80,30,53,14,7081,20
strict,18,ppo_step80,ppo_step116,80,116,36,24,52,7071,21
strict,23,instruct_base,ppo_step10,0,10,10,0,0,7168,0
strict,23,ppo_step10,ppo_step30,10,30,20,0,0,7168,0
strict,23,ppo_step30,ppo_step50,30,50,20,0,0,7168,0
strict,23,ppo_step50,ppo_step80,50,80,30,0,0,7168,0
strict,23,ppo_step80,ppo_step116,80,116,36,0,0,7168,0
shuffled,6,instruct_base,ppo_step10,0,10,10,504,751,5498,415
shuffled,6,ppo_step10,ppo_step30,10,30,20,416,552,5833,367
shuffled,12,instruct_base,ppo_step10,0,10,10,368,953,5670,177
shuffled,12,ppo_step10,ppo_step30,10,30,20,293,300,6330,245
shuffled,18,instruct_base,ppo_step10,0,10,10,46,702,6374,46
shuffled,18,ppo_step10,ppo_step30,10,30,20,170,62,6906,30
shuffled,23,instruct_base,ppo_step10,0,10,10,1,0,7167,0
shuffled,23,ppo_step10,ppo_step30,10,30,20,0,1,7167,0
