chain,layer,quadrant,n,mean_dec_cos,mean_enc_cos,mean_density_base,mean_density_step10,n_born,n_died,n_stayed_alive,n_stayed_dead,born_frac,dec_med_thresh,enc_med_thresh,corr_dec_enc
flexible,18,stable,1963,0.9489821791648865,0.9271436333656311,0.01802629604935646,0.0166796762496233,50,21,1863,29,0.02547121752419766,0.926059365272522,0.8990880250930786,-0.13909144509514748
flexible,18,reweighted,1621,0.9660409688949585,0.6442212462425232,0.001914712367579341,0.0014435165794566274,136,418,925,142,0.08389882788402221,0.926059365272522,0.8990880250930786,-0.13909144509514748
flexible,18,redirected,1621,0.8854039311408997,0.9129655957221985,0.009415446780622005,0.009626472368836403,39,5,1572,5,0.024059222702035782,0.926059365272522,0.8990880250930786,-0.13909144509514748
flexible,18,rotated,1963,0.7949598431587219,0.8569367527961731,0.0052206795662641525,0.006782141514122486,64,28,1830,41,0.032603158430973,0.926059365272522,0.8990880250930786,-0.13909144509514748
strict,18,stable,1951,0.9381237626075745,0.9158222675323486,0.018407722935080528,0.016931327059864998,26,24,1879,22,0.013326499231163505,0.9109773635864258,0.881877601146698,-0.10426324166419881
strict,18,reweighted,1633,0.9532033205032349,0.6269251108169556,0.001781153492629528,0.0013685794547200203,310,369,782,172,0.18983466013472136,0.9109773635864258,0.881877601146698,-0.10426324166419881
strict,18,redirected,1633,0.8651931881904602,0.8991119265556335,0.008807264268398285,0.009062536060810089,68,5,1552,8,0.041641151255358236,0.9109773635864258,0.881877601146698,-0.10426324166419881
strict,18,rotated,1951,0.7665600180625916,0.8244405388832092,0.0055333892814815044,0.007141448091715574,139,25,1771,16,0.07124551512045105,0.9109773635864258,0.881877601146698,-0.10426324166419881
shuffled,18,stable,2460,0.9863513708114624,0.9827079176902771,0.018608856946229935,0.01774977520108223,0,1,2459,0,0.0,0.9806687831878662,0.9747195839881897,0.014537602415467178
shuffled,18,reweighted,1124,0.9919115304946899,0.8791742324829102,0.0015508816577494144,0.002266513416543603,456,4,646,18,0.40569395017793597,0.9806687831878662,0.9747195839881897,0.014537602415467178
shuffled,18,redirected,1124,0.9736404418945312,0.978635311126709,0.007561519276350737,0.007511001545935869,43,13,1063,5,0.03825622775800712,0.9806687831878662,0.9747195839881897,0.014537602415467178
shuffled,18,rotated,2460,0.9488294124603271,0.9526821970939636,0.0032438519410789013,0.003799035679548979,203,28,2206,23,0.08252032520325203,0.9806687831878662,0.9747195839881897,0.014537602415467178
