chain,feature_idx,loadbearing_rank,delta_ce,density,quadrant,max_act,mean_act_fired,n_prompts_fired,math_frac_topk
flexible,5505,0,+0.1578,0.0161,reweighted,1.8848,1.8848,1,0.2000
flexible,1193,1,+0.0837,0.0161,stable,0.0000,0.0000,0,0.1500
flexible,6265,2,+0.0810,0.0562,stable,7.9531,3.0494,76,0.0000
flexible,3799,3,+0.0767,0.0076,stable,8.8984,3.2446,100,0.8000
flexible,2836,4,+0.0735,0.0176,redirected,0.9316,0.6710,4,0.1500
flexible,3770,5,+0.0720,0.0161,reweighted,1.7383,1.7383,1,0.2000
flexible,5453,6,+0.0655,0.0161,reweighted,0.0000,0.0000,0,0.1500
flexible,1304,7,+0.0644,0.0009,rotated,6.3516,1.6158,100,0.5000
flexible,4505,8,+0.0621,0.0607,stable,9.3594,3.1920,100,0.1500
flexible,1296,9,+0.0590,0.0527,stable,10.6094,4.0446,100,0.0000
flexible,4376,10,+0.0575,0.0169,reweighted,1.9492,1.0928,18,0.0000
flexible,6404,11,+0.0569,0.0173,reweighted,2.1738,1.2301,58,0.8000
flexible,480,12,+0.0498,0.0164,reweighted,1.1240,0.7357,3,0.2000
flexible,4933,13,+0.0467,0.0101,rotated,6.3750,1.6358,100,0.6500
flexible,256,14,+0.0419,0.0571,rotated,3.8301,1.5034,100,0.7500
flexible,3037,15,+0.0415,0.0161,stable,0.0000,0.0000,0,0.1500
flexible,485,16,+0.0414,0.0627,stable,9.6250,2.3851,100,0.0000
flexible,2897,17,+0.0398,0.0170,reweighted,1.3232,1.1795,8,0.1500
flexible,87,18,+0.0385,0.0161,stable,0.0000,0.0000,0,0.1500
flexible,6612,19,+0.0371,0.0161,stable,0.0000,0.0000,0,0.1500
flexible,169,20,+0.0321,0.0048,stable,4.1719,1.5851,100,0.9000
flexible,6456,21,+0.0291,0.0161,stable,0.0000,0.0000,0,0.1500
flexible,7,22,+0.0273,0.0161,stable,0.0000,0.0000,0,0.1500
flexible,133,23,+0.0262,0.0161,stable,0.0000,0.0000,0,0.1500
flexible,4243,24,+0.0258,0.0161,stable,0.0000,0.0000,0,0.1500
flexible,5164,25,+0.0248,0.0051,redirected,11.2266,1.8208,100,0.4000
flexible,3788,26,+0.0224,0.0161,stable,0.0000,0.0000,0,0.1500
flexible,3394,27,+0.0205,0.0057,rotated,4.8086,1.5277,100,0.1500
flexible,4042,28,+0.0197,0.0161,reweighted,0.0000,0.0000,0,0.1500
flexible,5569,29,+0.0187,0.0180,redirected,5.0586,1.5495,100,0.2500
flexible,4951,30,+0.0184,0.0161,stable,0.0000,0.0000,0,0.1500
flexible,6673,31,+0.0181,0.0161,stable,0.0000,0.0000,0,0.1500
flexible,288,32,+0.0180,0.0284,stable,7.9062,2.1002,100,0.5500
flexible,7079,33,+0.0172,0.0193,stable,9.7969,1.9163,81,1.0000
flexible,6216,34,+0.0169,0.0161,stable,0.0000,0.0000,0,0.1500
flexible,739,35,+0.0161,0.0325,stable,8.9219,2.7062,84,0.0000
flexible,774,36,+0.0148,0.0022,rotated,4.6875,1.5333,100,0.7500
flexible,1983,37,+0.0145,0.0161,stable,0.0000,0.0000,0,0.1500
flexible,1622,38,+0.0143,0.0237,stable,12.5391,6.6548,98,1.0000
flexible,3292,39,+0.0143,0.0173,reweighted,2.2129,1.1961,25,0.7500
flexible,6605,40,+0.0138,0.0125,rotated,11.6328,1.9443,100,0.7500
flexible,1696,41,+0.0135,0.0020,rotated,7.5781,1.6570,100,0.9500
flexible,6792,42,+0.0133,0.0161,stable,0.0000,0.0000,0,0.1500
flexible,5197,43,+0.0131,0.0161,stable,0.0000,0.0000,0,0.1500
flexible,5382,44,+0.0130,0.0161,reweighted,0.0000,0.0000,0,0.1500
flexible,6663,45,+0.0129,0.0009,rotated,6.0508,1.5221,97,0.7500
flexible,1098,46,+0.0126,0.0161,stable,0.0000,0.0000,0,0.1500
flexible,1547,47,+0.0124,0.0080,redirected,7.5664,1.5631,100,0.8500
flexible,2668,48,+0.0122,0.0150,rotated,17.7344,2.3074,100,0.9500
flexible,2306,49,+0.0121,0.0115,stable,2.4141,1.2449,100,0.8500
strict,1622,0,+0.5394,0.0373,stable,13.2109,6.6030,98,1.0000
strict,6557,1,+0.1848,0.0188,stable,2.8770,1.2849,60,0.7500
strict,723,2,+0.1677,0.0166,reweighted,0.0000,0.0000,0,0.1500
strict,4344,3,+0.1394,0.0166,stable,0.0000,0.0000,0,0.1500
strict,3418,4,+0.1351,0.0834,stable,8.4219,3.0761,100,0.0000
strict,3799,5,+0.1018,0.0096,stable,8.7031,3.4222,100,0.8000
strict,4505,6,+0.0966,0.0738,stable,8.9375,2.9476,100,0.2000
strict,485,7,+0.0922,0.0657,stable,9.3281,2.5480,100,0.0000
strict,365,8,+0.0870,0.0181,redirected,3.3516,1.5240,28,0.8500
strict,6404,9,+0.0858,0.0177,reweighted,3.6230,1.3283,68,0.0500
strict,6265,10,+0.0827,0.0542,stable,8.1953,3.1138,75,0.0000
strict,1296,11,+0.0759,0.0524,stable,11.3281,4.3211,100,0.0000
strict,5452,12,+0.0732,0.0174,redirected,2.5547,1.2275,20,0.4500
strict,3063,13,+0.0708,0.0566,stable,7.0742,2.5061,96,0.0000
strict,2018,14,+0.0674,0.0311,reweighted,5.6445,1.8585,60,0.0000
strict,782,15,+0.0659,0.0189,rotated,3.2090,1.3196,85,0.3000
strict,617,16,+0.0635,0.0390,stable,12.0781,3.4473,94,0.0000
strict,1304,17,+0.0629,0.0011,rotated,6.7891,1.7080,100,0.5000
strict,1030,18,+0.0601,0.0180,redirected,2.1914,1.2777,30,0.2500
strict,5451,19,+0.0572,0.0172,stable,4.7852,1.3431,61,0.0500
strict,256,20,+0.0527,0.0661,rotated,3.9219,1.6038,100,0.5500
strict,4933,21,+0.0525,0.0106,rotated,6.6992,1.9064,100,0.7500
strict,5034,22,+0.0494,0.0169,reweighted,1.6113,1.2939,2,0.1500
strict,582,23,+0.0469,0.0225,stable,5.6523,1.7478,38,0.2500
strict,2760,24,+0.0459,0.0201,rotated,2.2520,1.1703,37,0.0500
strict,846,25,+0.0433,0.0247,rotated,4.7773,1.6892,63,0.0000
strict,4993,26,+0.0427,0.1431,stable,10.7344,2.7619,100,0.0500
strict,6099,27,+0.0411,0.0175,redirected,2.3906,1.2357,61,0.8000
strict,4904,28,+0.0397,0.0175,redirected,2.7930,1.3812,35,0.1000
strict,350,29,+0.0393,0.0768,stable,7.0156,2.0212,99,0.0000
strict,3083,30,+0.0365,0.0180,stable,2.0156,1.1435,14,0.0500
strict,5004,31,+0.0348,0.0048,reweighted,7.1367,2.3051,100,0.9500
strict,480,32,+0.0347,0.0170,reweighted,2.7266,1.2121,41,0.1000
strict,3535,33,+0.0311,0.0175,redirected,1.2314,0.9441,11,0.1000
strict,1668,34,+0.0296,0.0179,rotated,6.7695,1.9348,77,0.9500
strict,925,35,+0.0284,0.0209,redirected,2.5859,1.2516,55,0.4500
strict,3897,36,+0.0273,0.0180,reweighted,3.6777,1.3379,54,0.4000
strict,774,37,+0.0267,0.0018,rotated,5.6914,1.8111,100,0.8500
strict,169,38,+0.0261,0.0034,stable,4.2812,1.5635,100,0.8000
strict,4509,39,+0.0246,0.0196,rotated,4.3750,1.8982,21,0.0000
strict,5520,40,+0.0239,0.0277,stable,7.1602,1.3576,41,0.5000
strict,3312,41,+0.0213,0.0174,reweighted,3.4922,1.3150,47,0.0500
strict,6261,42,+0.0211,0.0216,rotated,1.9648,1.0336,32,0.2500
strict,1547,43,+0.0209,0.0071,stable,7.1992,1.4686,100,0.8000
strict,5485,44,+0.0207,0.0555,stable,11.5391,1.8145,94,0.0500
strict,5587,45,+0.0203,0.0201,stable,7.0586,1.4507,50,0.2000
strict,3394,46,+0.0192,0.0059,rotated,5.0859,1.5437,100,0.1000
strict,2149,47,+0.0190,0.0176,rotated,1.8848,0.9693,24,0.1500
strict,4441,48,+0.0188,0.0111,rotated,4.7148,1.4246,100,0.6000
strict,3680,49,+0.0187,0.0280,rotated,5.6914,1.9113,73,0.0000
shuffled,6485,0,+0.1215,0.0509,stable,10.8203,4.2106,100,0.0000
shuffled,3132,1,+0.1114,0.0166,stable,0.0000,0.0000,0,0.1500
shuffled,5785,2,+0.0985,0.0166,stable,0.0000,0.0000,0,0.1500
shuffled,6607,3,+0.0967,0.0166,stable,0.0000,0.0000,0,0.1500
shuffled,2289,4,+0.0932,0.0166,stable,0.0000,0.0000,0,0.1500
shuffled,4948,5,+0.0927,0.0166,stable,0.0000,0.0000,0,0.1500
shuffled,6551,6,+0.0904,0.0018,stable,11.2266,1.5855,99,0.6500
shuffled,3332,7,+0.0870,0.0166,stable,0.0000,0.0000,0,0.1500
shuffled,3896,8,+0.0778,0.0166,stable,1.7695,1.7695,1,0.2000
shuffled,2559,9,+0.0750,0.0166,stable,1.8730,1.8730,1,0.2000
shuffled,6722,10,+0.0733,0.0166,stable,0.0000,0.0000,0,0.1500
shuffled,6911,11,+0.0679,0.0142,stable,9.2344,2.3125,100,0.0000
shuffled,5643,12,+0.0610,0.0060,rotated,6.9102,2.0390,100,0.9500
shuffled,2012,13,+0.0605,0.0166,stable,0.9839,0.9011,2,0.2500
shuffled,5368,14,+0.0503,0.0042,stable,7.8086,2.8290,100,1.0000
shuffled,6266,15,+0.0459,0.0166,stable,0.0000,0.0000,0,0.1500
shuffled,5571,16,+0.0411,0.0166,stable,0.0000,0.0000,0,0.1500
shuffled,6605,17,+0.0406,0.0166,stable,0.0000,0.0000,0,0.1500
shuffled,4142,18,+0.0398,0.0166,stable,0.0000,0.0000,0,0.1500
shuffled,2809,19,+0.0397,0.0075,redirected,4.2031,1.6281,100,1.0000
shuffled,6194,20,+0.0395,0.0166,stable,0.0000,0.0000,0,0.1500
shuffled,1237,21,+0.0394,0.0500,reweighted,6.8164,2.8350,80,0.0000
shuffled,4151,22,+0.0359,0.0166,stable,0.0000,0.0000,0,0.1500
shuffled,3506,23,+0.0357,0.0065,rotated,12.7500,1.5895,98,0.6000
shuffled,86,24,+0.0355,0.0166,stable,0.0000,0.0000,0,0.1500
shuffled,5771,25,+0.0355,0.0166,stable,0.0000,0.0000,0,0.1500
shuffled,1252,26,+0.0351,0.0166,stable,0.0000,0.0000,0,0.1500
shuffled,3577,27,+0.0333,0.0166,stable,0.0000,0.0000,0,0.1500
shuffled,10,28,+0.0328,0.0166,stable,0.0000,0.0000,0,0.1500
shuffled,4922,29,+0.0325,0.0166,stable,0.0000,0.0000,0,0.1500
shuffled,2309,30,+0.0308,0.1105,stable,9.3828,3.5939,100,0.0000
shuffled,1166,31,+0.0300,0.0166,stable,0.0000,0.0000,0,0.1500
shuffled,7155,32,+0.0297,0.0166,stable,0.0000,0.0000,0,0.1500
shuffled,7158,33,+0.0286,0.0166,stable,0.0000,0.0000,0,0.1500
shuffled,6201,34,+0.0280,0.0166,stable,0.0000,0.0000,0,0.1500
shuffled,3627,35,+0.0268,0.0086,stable,9.4609,1.8134,100,1.0000
shuffled,5818,36,+0.0259,0.0166,stable,0.0000,0.0000,0,0.1500
shuffled,5950,37,+0.0242,0.0166,stable,0.0000,0.0000,0,0.1500
shuffled,3196,38,+0.0238,0.0166,stable,1.7441,1.7441,1,0.2000
shuffled,1163,39,+0.0232,0.0166,stable,0.0000,0.0000,0,0.1500
shuffled,1511,40,+0.0208,0.0166,stable,0.0000,0.0000,0,0.1500
shuffled,4103,41,+0.0207,0.0166,stable,0.0000,0.0000,0,0.1500
shuffled,5968,42,+0.0196,0.0166,stable,0.0000,0.0000,0,0.1500
shuffled,3752,43,+0.0195,0.0111,rotated,5.5117,1.4322,98,0.2500
shuffled,6961,44,+0.0194,0.0166,stable,0.0000,0.0000,0,0.1500
shuffled,1563,45,+0.0193,0.0610,stable,10.0000,3.0124,100,0.0000
shuffled,2234,46,+0.0193,0.0170,stable,6.5781,1.8147,100,0.0500
shuffled,2797,47,+0.0190,0.0371,stable,7.7969,2.1238,100,0.9000
shuffled,3199,48,+0.0182,0.0166,stable,0.0000,0.0000,0,0.1500
shuffled,5971,49,+0.0174,0.0166,stable,0.0000,0.0000,0,0.1500
