training_regime,chain,stage,layer,k,d_sae,nmse,mean_l0,L_base,L_sae,L_mean,frac_rec,step,n_tokens,mse,var,nmse_recomputed,mean_l0_raw,n_dead,dead_frac,dead_latents_pct,frac_rec_pct,delta_loss,expansion,model,architecture,optimizer,lr,checkpoint
SFT,sft,instruct_base,6,64,7168,0.00050000,64.00000000,2.44450000,2.62080000,11.60410000,0.98070000,0,89148,0.02378800,45.22253000,0.00052600,64.00000000,43,0.00599900,0.59990000,98.07000000,0.17630000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,instruct_base
SFT,sft,sft_step29,6,64,7168,0.00040000,64.00000000,2.50160000,2.65230000,12.19010000,0.98440000,29,44574,0.02084700,46.78695700,0.00044600,64.00000000,255,0.03557500,3.55750000,98.44000000,0.15070000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,sft_step29
SFT,sft,sft_step58,6,64,7168,0.00040000,64.00000000,2.41530000,2.53840000,11.82030000,0.98690000,58,44574,0.01941600,46.71980300,0.00041600,64.00000000,278,0.03878300,3.87830000,98.69000000,0.12310000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,sft_step58
SFT,sft,sft_step116,6,64,7168,0.00040000,64.00000000,2.39980000,2.49370000,12.01540000,0.99020000,116,44574,0.01790700,46.48318100,0.00038500,64.00000000,66,0.00920800,0.92080000,99.02000000,0.09390000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,sft_step116
SFT,sft,sft_step174,6,64,7168,0.00040000,64.00000000,2.92270000,3.07870000,12.05780000,0.98290000,174,44574,0.01763100,47.00894500,0.00037500,64.00000000,83,0.01157900,1.15790000,98.29000000,0.15600000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,sft_step174
SFT,sft,sft_step232,6,64,7168,0.00040000,64.00000000,2.98750000,3.14100000,11.93420000,0.98290000,232,44574,0.01725800,46.67952700,0.00037000,64.00000000,52,0.00725400,0.72540000,98.29000000,0.15350000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,sft_step232
SFT,sft,sft_step290,6,64,7168,0.00040000,64.00000000,3.62150000,3.84890000,11.97020000,0.97280000,290,44574,0.01724200,46.69858200,0.00036900,64.00000000,36,0.00502200,0.50220000,97.28000000,0.22740000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,sft_step290
SFT,sft,sft_step348,6,64,7168,0.00040000,64.00000000,3.57400000,3.76000000,11.97400000,0.97790000,348,44574,0.01685400,46.75589000,0.00036000,64.00000000,16,0.00223200,0.22320000,97.79000000,0.18600000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,sft_step348
SFT,sft,instruct_base,12,64,7168,0.00090000,64.00000000,2.44450000,2.76610000,10.14950000,0.95830000,0,89148,0.04081300,45.68994900,0.00089300,64.00000000,80,0.01116100,1.11610000,95.83000000,0.32160000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,instruct_base
SFT,sft,sft_step29,12,64,7168,0.00080000,64.00000000,2.50160000,2.75080000,10.19160000,0.96760000,29,44574,0.03789300,47.26171900,0.00080200,64.00000000,178,0.02483300,2.48330000,96.76000000,0.24920000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,sft_step29
SFT,sft,sft_step58,12,64,7168,0.00080000,64.00000000,2.41530000,2.58970000,9.71980000,0.97610000,58,44574,0.03729400,47.19483900,0.00079000,64.00000000,51,0.00711500,0.71150000,97.61000000,0.17440000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,sft_step58
SFT,sft,sft_step116,12,64,7168,0.00080000,64.00000000,2.39980000,2.54330000,9.83640000,0.98070000,116,44574,0.03545400,46.95888900,0.00075500,64.00000000,111,0.01548500,1.54850000,98.07000000,0.14350000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,sft_step116
SFT,sft,sft_step174,12,64,7168,0.00080000,64.00000000,2.92270000,3.18310000,10.05300000,0.96350000,174,44574,0.03694400,47.48354700,0.00077800,64.00000000,49,0.00683600,0.68360000,96.35000000,0.26040000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,sft_step174
SFT,sft,sft_step232,12,64,7168,0.00080000,64.00000000,2.98750000,3.23640000,9.85640000,0.96380000,232,44574,0.03624900,47.15081400,0.00076900,64.00000000,56,0.00781200,0.78120000,96.38000000,0.24890000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,sft_step232
SFT,sft,sft_step290,12,64,7168,0.00080000,64.00000000,3.62150000,4.00100000,10.08290000,0.94130000,290,44574,0.03708700,47.16626400,0.00078600,64.00000000,28,0.00390600,0.39060000,94.13000000,0.37950000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,sft_step290
SFT,sft,sft_step348,12,64,7168,0.00080000,64.00000000,3.57400000,3.95810000,10.07360000,0.94090000,348,44574,0.03620800,47.22404500,0.00076700,64.00000000,57,0.00795200,0.79520000,94.09000000,0.38410000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,sft_step348
SFT,sft,instruct_base,18,64,7168,0.00380000,64.00000000,2.44450000,2.83560000,10.79440000,0.95320000,0,89148,0.17842800,46.41801100,0.00384400,64.00000000,29,0.00404600,0.40460000,95.32000000,0.39110000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,instruct_base
SFT,sft,sft_step29,18,64,7168,0.00360000,64.00000000,2.50160000,2.79910000,10.80370000,0.96420000,29,44574,0.17168800,47.97502500,0.00357900,64.00000000,117,0.01632300,1.63230000,96.42000000,0.29750000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,sft_step29
