chain,stage,layer,k,d_sae,n_tokens,mse,var,nmse,mean_l0,n_dead,dead_frac
flexible,instruct_base,6,64,7168,89148,0.023788,45.222530,0.000526,64.00,43,0.005999
flexible,ppo_step10,6,64,7168,89148,0.020413,45.234806,0.000451,64.00,174,0.024275
flexible,ppo_step30,6,64,7168,89148,0.018833,45.239601,0.000416,64.00,157,0.021903
flexible,ppo_step60,6,64,7168,89148,0.016673,45.184368,0.000369,64.00,71,0.009905
flexible,ppo_step100,6,64,7168,89148,0.016549,45.135914,0.000367,64.00,16,0.002232
flexible,ppo_step140,6,64,7168,89148,0.016627,45.106243,0.000369,64.00,104,0.014509
flexible,ppo_step180,6,64,7168,89148,0.015752,44.960476,0.000350,64.00,20,0.002790
flexible,ppo_step200,6,64,7168,89148,0.015808,44.996521,0.000351,64.00,49,0.006836
flexible,instruct_base,12,64,7168,89148,0.040813,45.689949,0.000893,64.00,80,0.011161
flexible,ppo_step10,12,64,7168,89148,0.038778,45.702305,0.000848,64.00,58,0.008092
flexible,ppo_step30,12,64,7168,89148,0.036797,45.707703,0.000805,64.00,51,0.007115
flexible,ppo_step60,12,64,7168,89148,0.033466,45.652645,0.000733,64.00,76,0.010603
flexible,ppo_step100,12,64,7168,89148,0.032424,45.604561,0.000711,64.00,59,0.008231
flexible,ppo_step140,12,64,7168,89148,0.031473,45.573635,0.000691,64.00,59,0.008231
flexible,ppo_step180,12,64,7168,89148,0.031221,45.426418,0.000687,64.00,41,0.005720
flexible,ppo_step200,12,64,7168,89148,0.030439,45.463814,0.000670,64.00,47,0.006557
flexible,instruct_base,18,64,7168,89148,0.178428,46.418011,0.003844,64.00,29,0.004046
flexible,ppo_step10,18,64,7168,89148,0.163777,46.427246,0.003528,64.00,123,0.017160
flexible,ppo_step30,18,64,7168,89148,0.159102,46.417664,0.003428,64.00,41,0.005720
flexible,ppo_step60,18,64,7168,89148,0.157407,46.347286,0.003396,64.00,4,0.000558
flexible,ppo_step100,18,64,7168,89148,0.157934,46.284309,0.003412,64.00,8,0.001116
flexible,ppo_step140,18,64,7168,89148,0.157293,46.254471,0.003401,64.00,4,0.000558
flexible,ppo_step180,18,64,7168,89148,0.157955,46.104141,0.003426,64.00,5,0.000698
flexible,ppo_step200,18,64,7168,89148,0.156685,46.144108,0.003396,64.00,12,0.001674
flexible,instruct_base,23,256,7168,89148,0.537944,3.035650,0.177209,256.00,0,0.000000
flexible,ppo_step10,23,256,7168,89148,0.506318,3.025757,0.167336,256.00,0,0.000000
flexible,ppo_step30,23,256,7168,89148,0.494346,2.968717,0.166518,256.00,0,0.000000
flexible,ppo_step60,23,256,7168,89148,0.482836,2.922100,0.165236,256.00,0,0.000000
flexible,ppo_step100,23,256,7168,89148,0.465361,2.879950,0.161586,256.00,0,0.000000
flexible,ppo_step140,23,256,7168,89148,0.447858,2.853322,0.156960,256.00,0,0.000000
flexible,ppo_step180,23,256,7168,89148,0.433070,2.834121,0.152806,256.00,0,0.000000
flexible,ppo_step200,23,256,7168,89148,0.419264,2.822397,0.148549,256.00,0,0.000000
kl0p025,instruct_base,6,64,7168,44574,0.024036,47.047070,0.000511,64.00,156,0.021763
kl0p025,ppo_step10,6,64,7168,44574,0.021843,47.052319,0.000464,64.00,199,0.027762
kl0p025,ppo_step30,6,64,7168,44574,0.018423,47.029724,0.000392,64.00,225,0.031390
kl0p025,instruct_base,12,64,7168,44574,0.040309,47.528717,0.000848,64.00,110,0.015346
kl0p025,ppo_step10,12,64,7168,44574,0.035954,47.533901,0.000756,64.00,312,0.043527
kl0p025,ppo_step30,12,64,7168,44574,0.032995,47.511353,0.000694,64.00,114,0.015904
kl0p025,instruct_base,18,64,7168,44574,0.176831,48.261307,0.003664,64.00,100,0.013951
kl0p025,ppo_step10,18,64,7168,44574,0.166022,48.265179,0.003440,64.00,35,0.004883
kl0p025,ppo_step30,18,64,7168,44574,0.158130,48.230190,0.003279,64.00,17,0.002372
kl0p025,instruct_base,23,64,7168,44574,0.921923,3.061284,0.301156,64.00,0,0.000000
kl0p025,ppo_step10,23,64,7168,44574,0.874402,3.052402,0.286463,64.00,0,0.000000
kl0p025,ppo_step30,23,64,7168,44574,0.866991,2.997553,0.289233,64.00,0,0.000000
shuffled,instruct_base,6,64,7168,44574,0.025071,47.047070,0.000533,64.00,169,0.023577
shuffled,ppo_step10,6,64,7168,44574,0.022537,47.051395,0.000479,64.00,323,0.045061
shuffled,ppo_step30,6,64,7168,44574,0.020010,47.046005,0.000425,64.00,205,0.028599
shuffled,instruct_base,12,64,7168,44574,0.041169,47.528717,0.000866,64.00,199,0.027762
shuffled,ppo_step10,12,64,7168,44574,0.035637,47.533112,0.000750,64.00,150,0.020926
shuffled,ppo_step30,12,64,7168,44574,0.032980,47.527222,0.000694,64.00,123,0.017160
shuffled,instruct_base,18,64,7168,44574,0.176914,48.261307,0.003666,64.00,238,0.033203
shuffled,ppo_step10,18,64,7168,44574,0.172434,48.262108,0.003573,64.00,13,0.001814
shuffled,ppo_step30,18,64,7168,44574,0.160880,48.258030,0.003334,64.00,58,0.008092
shuffled,instruct_base,23,64,7168,44574,0.919988,3.061284,0.300523,64.00,0,0.000000
shuffled,ppo_step10,23,64,7168,44574,0.875818,3.050479,0.287108,64.00,0,0.000000
shuffled,ppo_step30,23,64,7168,44574,0.861925,3.052801,0.282339,64.00,0,0.000000
strict,instruct_base,6,64,7168,44574,0.023499,47.047070,0.000499,64.00,170,0.023717
strict,ppo_step10,6,64,7168,44574,0.020404,47.052181,0.000434,64.00,288,0.040179
