chain,stage,layer,k,d_sae,n_tokens,mse,var,nmse,mean_l0,n_dead,dead_frac
sft,instruct_base,6,64,7168,89148,0.023788,45.222530,0.000526,64.00,43,0.005999
sft,sft_step29,6,64,7168,44574,0.020847,46.786957,0.000446,64.00,255,0.035575
sft,sft_step58,6,64,7168,44574,0.019416,46.719803,0.000416,64.00,278,0.038783
sft,sft_step116,6,64,7168,44574,0.017907,46.483181,0.000385,64.00,66,0.009208
sft,sft_step174,6,64,7168,44574,0.017631,47.008945,0.000375,64.00,83,0.011579
sft,sft_step232,6,64,7168,44574,0.017258,46.679527,0.000370,64.00,52,0.007254
sft,sft_step290,6,64,7168,44574,0.017242,46.698582,0.000369,64.00,36,0.005022
sft,sft_step348,6,64,7168,44574,0.016854,46.755890,0.000360,64.00,16,0.002232
sft,instruct_base,12,64,7168,89148,0.040813,45.689949,0.000893,64.00,80,0.011161
sft,sft_step29,12,64,7168,44574,0.037893,47.261719,0.000802,64.00,178,0.024833
sft,sft_step58,12,64,7168,44574,0.037294,47.194839,0.000790,64.00,51,0.007115
sft,sft_step116,12,64,7168,44574,0.035454,46.958889,0.000755,64.00,111,0.015485
sft,sft_step174,12,64,7168,44574,0.036944,47.483547,0.000778,64.00,49,0.006836
sft,sft_step232,12,64,7168,44574,0.036249,47.150814,0.000769,64.00,56,0.007812
sft,sft_step290,12,64,7168,44574,0.037087,47.166264,0.000786,64.00,28,0.003906
sft,sft_step348,12,64,7168,44574,0.036208,47.224045,0.000767,64.00,57,0.007952
sft,instruct_base,18,64,7168,89148,0.178428,46.418011,0.003844,64.00,29,0.004046
sft,sft_step29,18,64,7168,44574,0.171688,47.975025,0.003579,64.00,117,0.016323
sft,sft_step58,18,64,7168,44574,0.171197,47.936489,0.003571,64.00,30,0.004185
sft,sft_step116,18,64,7168,44574,0.166285,47.709568,0.003485,64.00,30,0.004185
sft,sft_step174,18,64,7168,44574,0.188916,48.154789,0.003923,64.00,6,0.000837
sft,sft_step232,18,64,7168,44574,0.188185,47.809570,0.003936,64.00,13,0.001814
sft,sft_step290,18,64,7168,44574,0.198619,47.784630,0.004157,64.00,6,0.000837
sft,sft_step348,18,64,7168,44574,0.197991,47.843796,0.004138,64.00,6,0.000837
sft,instruct_base,23,256,7168,89148,0.537944,3.035650,0.177209,256.00,0,0.000000
sft,sft_step29,23,64,7168,44574,0.965997,3.211623,0.300781,64.00,0,0.000000
sft,sft_step58,23,64,7168,44574,0.959009,3.479490,0.275618,64.00,0,0.000000
sft,sft_step116,23,64,7168,44574,0.930836,3.565638,0.261057,64.00,0,0.000000
sft,sft_step174,23,64,7168,44574,1.096242,3.233962,0.338978,64.00,0,0.000000
sft,sft_step232,23,64,7168,44574,1.107658,3.205701,0.345528,64.00,0,0.000000
sft,sft_step290,23,64,7168,44574,1.155316,3.118157,0.370513,64.00,0,0.000000
sft,sft_step348,23,64,7168,44574,1.159895,3.127570,0.370861,64.00,0,0.000000
