chain,layer,feature_idx,rank,stage_from,stage_to,dec_cos,dec_drift,enc_cos,density_start,density_end
flexible,6,1751,1,instruct_base,ppo_step200,-0.07391608506441116,1.0739160776138306,-0.025366347283124924,0.0002467806334607303,0.01628752239048481
flexible,6,2989,2,instruct_base,ppo_step200,-0.07205002009868622,1.0720499753952026,0.002762945368885994,0.0001794768322724849,0.016657693311572075
flexible,6,3806,3,instruct_base,ppo_step200,-0.048806190490722656,1.0488061904907227,-0.1458675116300583,8.973841613624245e-05,0.0071117691695690155
flexible,6,105,4,instruct_base,ppo_step200,-0.048138782382011414,1.0481387376785278,-0.03429101034998894,0.00011217301653232425,0.012148337438702583
flexible,6,6520,5,instruct_base,ppo_step200,-0.04620173200964928,1.0462017059326172,-0.06776674091815948,0.00011217301653232425,0.004083097912371159
flexible,6,2291,6,instruct_base,ppo_step200,-0.042888425290584564,1.0428884029388428,-0.07453005015850067,0.0001794768322724849,0.0019742450676858425
flexible,6,2025,7,instruct_base,ppo_step200,-0.041513752192258835,1.0415138006210327,-0.14652034640312195,0.0006730380700901151,0.018811414018273354
flexible,6,1038,8,instruct_base,ppo_step200,-0.03625119477510452,1.036251187324524,-0.05345206335186958,0.0002131287328666076,0.0014470318565145135
flexible,6,3648,9,instruct_base,ppo_step200,-0.03134383261203766,1.0313438177108765,-0.12050285190343857,0.00037017095019109547,0.0016152914613485336
flexible,6,4483,10,instruct_base,ppo_step200,-0.03130161762237549,1.0313016176223755,0.05312618240714073,0.00011217301653232425,0.01619778387248516
flexible,6,1005,11,instruct_base,ppo_step200,-0.02726035751402378,1.0272603034973145,-0.15603244304656982,0.0010319917928427458,0.002019114326685667
flexible,6,3869,12,instruct_base,ppo_step200,-0.023933207616209984,1.0239331722259521,-0.07827983051538467,0.00025799794821068645,0.0020639835856854916
flexible,6,251,13,instruct_base,ppo_step200,-0.023561129346489906,1.0235611200332642,0.08043353259563446,0.00011217301653232425,0.0010880782501772046
flexible,6,6588,14,instruct_base,ppo_step200,-0.022561604157090187,1.0225615501403809,-0.031223712489008904,0.0002355633332626894,0.0016489432891830802
